"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C1,C2,C3,C4,C5,C6,C7,C8","8","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"J1","1","Conn_01x03","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J2","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","8","BC557","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"R1,R2,R3,R4,R5,R6","6","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7,R8,R9,R10,R27,R28,R29,R30","8","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26","16","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"SW1","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"SW2,SW3,SW4","3","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1,U4","2","74HC595","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U2,U5","2","74HC138","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf"
"U3,U6","2","CA56-12EWA","","","","Display_7Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
